"id","model","info"
"1","mdl/dev/empty_model_revenant.rmdl","called by revenant finisher, remove when rseq dependency support added?"
"2","mdl/props/revenant_totem/revenant_totem.rmdl","revenant gladcard models"
"3","mdl/props/revenant_gladcards/revenant_gc_contemplation_static.rmdl","revenant gladcard models"
"4","mdl/props/revenant_gladcards/revenant_gc_patience_static.rmdl","revenant gladcard models"
"5","mdl/props/revenant_totem/revenant_totem_glad_card.rmdl","revenant gladcard models"
"6","mdl/weapons_r5/lmg_devotion/w_lmg_devotion_legendary_03.rmdl","not a skin! used for revenant gcard"
"7","mdl/props/tablet/tablet_mini.rmdl","s4 mirage animset needs this model? game crashes if not precached, remove when rseq dependency support added?"
"8","mdl/props/rampart_gum/rampart_gum.rmdl",""
"9","mdl/props/rampart_gum/rampart_bubblegum.rmdl",""
"10","mdl/props/rampart_turret/rampart_turret_lobby.rmdl",""
"11","mdl/props/welder/welder.rmdl",""
"12","mdl/props/rampart_cover_wall/rampart_cover_wall.rmdl",""
"13","mdl/props/wrench/wrench.rmdl",""
"14","mdl/props/bullets/bullets_v02_all.rmdl",""
"15","mdl/fx/loba_staff_holo_stand.rmdl",""
"16","mdl/Weapons/loba_rings/ptpov_loba_rings.rmdl",""
"17","mdl/Weapons/loba_rings/w_loba_rings.rmdl",""
"18","mdl/Weapons/p2011/ptpov_p2011_loba.rmdl",""
"19","mdl/Weapons/p2011/w_p2011_loba.rmdl",""
"20","mdl/Weapons/loba_loot_stick/w_loba_loot_stick.rmdl",""
"21","mdl/Weapons/loba_loot_stick/ptpov_loba_loot_stick.rmdl",""
"22","mdl/props/loba_mirror/loba_mirror.rmdl",""
"23","mdl/props/loba_loot_stick/loba_loot_stick.rmdl",""
"24","mdl/Weapons/p2011/w_p2011_loba_prop_version.rmdl",""
"25","mdl/props/revenant_jar/revenant_jar.rmdl",""
"26","mdl/props/loot_bin/loot_bin_01_loba_gladcard.rmdl",""
"27","mdl/props/loba_treasure/loba_treasure.rmdl",""
"28","mdl/Humans/class/medium/pilot_medium_loba.rmdl","TEMPORARILY PRECACHE LOBA WORLD MODEL"
"29","mdl/Humans/grunts/imc_grunt_lmg_corpse.rmdl",""
"30","mdl/creatures/prowler/prowler_apex.rmdl",""
"31","mdl/creatures/spider/spider.rmdl",""
"32","mdl/robots/marvin/marvin.rmdl",""
"33","mdl/weapons/sentry_turret/sentry_turret.rmdl",""
"34","mdl/Humans/class/medium/combat_dummie_medium.rmdl",""
"35","mdl/robots/drone_frag/drone_frag.rmdl",""
"36","mdl/vehicle/droppod_fireteam/droppod_fireteam.rmdl",""
"37","mdl/vehicle/droppod_loot/droppod_loot_LL_holo.rmdl",""
"38","mdl/robots/marvin/marvin_gladcard.rmdl",""
"39","mdl/menu/xp_badge.rmdl",""
"40","mdl/menu/coin.rmdl",""
"41","mdl/currency/crafting/currency_crafting_epic.rmdl",""
"58","mdl/dev/editor_ref.rmdl","charms"
"59","mdl/dev/empty_model.rmdl","charms"
"60","mdl/error.rmdl","model used when no model is provided"
"61","mdl/fx/ar_survival_radius_1x100.rmdl","ring radius model"
"62","mdl/vehicle/olympus_hovercraft/olympus_hovercraft_v2.rmdl","trident"
"63","mdl/communication/terminal_usable_imc_01.rmdl","terminal, moved to sdk to make sure it works in every map"
"64","mdl/weapons/shellejects/shelleject_repeater3030.rmdl","DO NOT REMOVE! USED BY REPEATER ANIMS"
"int","asset","string"
