"featureFlag","ref","type","baseWeapon","baseMods","supportedAttachments","lootTags","tier","pingCommsAction","fakeAmmoIcon","icon","pickupModel","skinOverride","attachSound","pickupSound_1p","pickupSound_3p","carrySound","pickupString","desc","countPerDrop","inventorySlotCount","netInt","passive","minPVPCurrency","maxPVPCurrency","scrapValue","droppodRotate","conditional","isDynamic","pretendsToBeBlank"
"","blank","blank","","","","",0,"","","","",0,"","","","","","",1,1,"","",0,0,0,0,0,0,0
"","mp_weapon_pulse_lmg","main_weapon","","crate","","launcher","5","PING_WEAPON_COLDWAR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_pulse_lmg","survival_loot_pickup_3p_weapon_pulse_lmg","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_weapon_epg","main_weapon","","crate","","launcher","5","PING_WEAPON_EPG","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_epg","survival_loot_pickup_3p_weapon_epg","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_weapon_smr","main_weapon","","crate","","launcher","5","PING_WEAPON_SMR","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_smr","survival_loot_pickup_3p_weapon_smr","","","","1","1","","","0","0","20","0","0","0","0"
"","sp_weapon_arc_tool","main_weapon","","crate","","launcher","5","PING_WEAPON_ARC_TOOL","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_arc_launcher","survival_loot_pickup_3p_weapon_arc_launcher","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_weapon_rocket_launcher","main_weapon","","crate","","launcher","5","PING_WEAPON_ARCHER","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_smr","survival_loot_pickup_3p_weapon_smr","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_titanweapon_flightcore_rockets","main_weapon","","crate","","launcher","5","PING_WEAPON_ARCHER","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_smr","survival_loot_pickup_3p_weapon_smr","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_weapon_arc_launcher","main_weapon","","crate","","launcher","5","PING_WEAPON_THUNDERBOLT","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_arc_launcher","survival_loot_pickup_3p_weapon_arc_launcher","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_weapon_softball","main_weapon","","crate","","launcher","5","PING_WEAPON_SOFTBALL","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_softball","survival_loot_pickup_3p_weapon_softball","","","","1","1","","","0","0","20","0","0","0","0"
"","mp_weapon_mgl","main_weapon","","crate","","launcher","5","PING_WEAPON_MGL","rui/hud/gametype_icons/survival/sur_ammo_crate_boomjuice","","","0","","survival_loot_pickup_weapon_mgl","survival_loot_pickup_3p_weapon_mgl","","","","1","1","","","0","0","20","0","0","0","0"
