"triggerName","zoneName","miniMapName","chroma","statsRef"
"Z_01_A","#MAPZONE_INTERSTELLAR_RELAY","#MAPZONE_INTERSTELLAR_RELAY_SHORT","industrial","can_relay"
"Z_01_B","#MAPZONE_WETLANDS","#MAPZONE_WETLANDS","wetland","can_wetlands"
"Z_02_A","#MAPZONE_SWAMPLAND","#MAPZONE_SWAMPLAND_SHORT","swamp","can_swamps"
"Z_02_B","#MAPZONE_SWAMPLAND","","swamp","can_swamps"
"Z_03_BURNT","#MAPZONE_THE_SHATTERED_FOREST","","burnt",""
"Z_04_A","#MAPZONE_HYDRO_DAM","#MAPZONE_HYDRO_DAM","industrial","can_hydrodam"
"Z_04_B","#MAPZONE_REPULSOR_STATION","#MAPZONE_REPULSOR_STATION_SHORT","industrial","can_repulsor"
"Z_05_A","#MAPZONE_TWO_SPINES","","grass",""
"Z_05_B","#MAPZONE_TWO_SPINES","","grass",""
"Z_05_C","#MAPZONE_THE_FARM","","grass",""
"Z_06_A","#MAPZONE_BRIDGE_VALLEY","#MAPZONE_BRIDGE_VALLEY_SHORT","river","can_bridges"
"Z_06_B","#MAPZONE_BRIDGE_VALLEY","","river","can_bridges"
"Z_07_A","#MAPZONE_RIVERS_END","","river",""
"Z_07_B","#MAPZONE_WATCHTOWER_SOUTH","","industrial",""
"Z_07_C","#MAPZONE_LANDING_PAD","","industrial",""
"Z_07_D","#MAPZONE_RIVERS_END","","river",""
"Z_08_ARTILLERY","#MAPZONE_ARTILLERY_BATTERY","#MAPZONE_ARTILLERY_BATTERY_SHORT","industrial","can_artillery"
"Z_09_A","#MAPZONE_THE_CASCADES","#MAPZONE_THE_CASCADES_SHORT","river","can_cascades"
"Z_09_B","#MAPZONE_WATCHTOWER_NORTH","","industrial","can_cascades"
"Z_09_C","#MAPZONE_THE_CASCADES","","river","can_cascades"
"Z_09_D","#MAPZONE_THE_CASCADES","","river","can_cascades"
"Z_09_E","#MAPZONE_THE_CASCADES","","river","can_cascades"
"Z_10_A","#MAPZONE_RIVER_CENTER","","river",""
"Z_10_B","#MAPZONE_RIVER_CENTER","","grass",""
"Z_11_A","#MAPZONE_WATER_TREATMENT","#MAPZONE_WATER_TREATMENT","industrial","can_watertreatment"
"Z_11_B","#MAPZONE_WATER_TREATMENT","","industrial","can_watertreatment"
"Z_12_A","#MAPZONE_SLUM_LAKES","#MAPZONE_SLUM_LAKES","industrial","can_slumlakes"
"Z_12_B","#MAPZONE_SLUM_LAKES","","river","can_slumlakes"
"Z_12_C","#MAPZONE_SLUM_LAKES","","rocky","can_slumlakes"
"Z_13_ARENA","#MAPZONE_THE_ARENA","#MAPZONE_THE_ARENA","rocky","can_pit"
"Z_13_A","#MAPZONE_RUNOFF","","desert","can_runoff"
"Z_13_B","#MAPZONE_HIGH_DESERT","","desert",""
"Z_13_C","#MAPZONE_OASIS","","desert",""
"Z_13_D","#MAPZONE_HIGH_DESERT","","desert",""
"Z_13_E","#MAPZONE_HIGH_DESERT","","desert",""
"Z_13_F","#MAPZONE_HIGH_DESERT","","desert",""
"Z_13_G","#MAPZONE_CROSSROADS","","desert",""
"Z_13_H","#MAPZONE_GOLDEN_SANDS","","desert",""
"Z_14_RUNOFF","#MAPZONE_RUNOFF","#MAPZONE_RUNOFF","industrial","can_runoff"
"Z_15_AIRBASE","#MAPZONE_AIRBASE","#MAPZONE_AIRBASE","industrial","can_airbase"
"Z_16_SKULLTOWN","#MAPZONE_SKULL_TOWN","#MAPZONE_SKULL_TOWN","desert","can_skulltown"
"Z_16_MALL","#MAPZONE_MARKETPLACE","#MAPZONE_MARKETPLACE_SHORT","industrial","can_market"
"Z_16_A","#MAPZONE_WEST_SETTLEMENT","","desert",""
"Z_16_B","#MAPZONE_CROSSROADS","","desert",""
"Z_16_C","#MAPZONE_CROSSROADS","","desert",""
"Z_16_D","#MAPZONE_MARKETPLACE","","desert",""
"Z_16_E","#MAPZONE_EAST_SETTLEMENT","","desert",""
"Z_16_F","","","desert",""
"Z_16_G","#MAPZONE_SOUTH_SETTLEMENT","","desert",""
"Z_17_DOME","#MAPZONE_THUNDERDOME","#MAPZONE_THUNDERDOME","desert","can_thunderdome"
"JCT_05_06","","","rocky",""
"JCT_04_06","#MAPZONE_HYDRO_TUNNELS","","industrial",""
"JCT_08_09A","#MAPZONE_ARTILLERY_TUNNEL","","industrial",""
"JCT_08_09B","#MAPZONE_ARTILLERY_UNDERPASS","","industrial",""
"JCT_09_13","","","industrial",""
"JCT_10_13","#MAPZONE_BUNKER_PASS","#MAPZONE_BUNKER_PASS_SHORT","industrial","can_bunker"
"JCT_06_07","","","rocky",""
"JCT_08_10_16","#MAPZONE_CAVES","#MAPZONE_CAVES","rocky",""
"JCT_03_04_06","","","grass",""
"JCT_02_03_04","","","industrial",""
"JCT_01_02_03","","","grass",""
"JCT_03_06","","","rocky",""
"JCT_ARENA_A","","","rocky",""
"JCT_ARENA_B","","","rocky",""
"JCT_ARENA_C","","","rocky",""
"string","string","string","string","string"
