"featureFlag","event","notes","menuText","shortText","chatText","aliasSubname","hasCalm","hasCalmFar","hasUrgent","hasUrgentFar","subEvent","flavorEvent","defaultIcon","pingAsset"
"","BLANK","","","","","",false,false,false,false,"","","",""
"","PING_WEAPON_KRABER","","","","#PING_LOOT","ping_foundKraber",true,false,true,false,"","FLAVOR_WEAPON_KRABER","",""
"","PING_WEAPON_MASTIFF","","","","#PING_LOOT","ping_foundMastiff",true,false,true,false,"","FLAVOR_WEAPON_MASTIFF","",""
"","PING_WEAPON_LSTAR","","","","#PING_LOOT","ping_foundLstar",true,false,true,false,"","FLAVOR_WEAPON_LSTAR","",""
"","PING_WEAPON_ENERGY_AR","! [jnel] hooked up Havoc instead of enery ar / energy weapon.","","","#PING_LOOT","ping_foundHavoc",true,false,true,false,"","FLAVOR_WEAPON_ENERGY_AR","",""
"","PING_WEAPON_DEVOTION","","","","#PING_LOOT","ping_foundDevotion",true,false,true,false,"","FLAVOR_WEAPON_DEVOTION","",""
"","PING_WEAPON_TRIPLETAKE","","","","#PING_LOOT","ping_foundTripletake",true,false,true,false,"","FLAVOR_WEAPON_TRIPLETAKE","",""
"","PING_WEAPON_FLATLINE","","","","#PING_LOOT","ping_foundFlatline",true,false,true,false,"","FLAVOR_WEAPON_FLATLINE","",""
"","PING_WEAPON_HEMLOK","","","","#PING_LOOT","ping_foundHemlok",true,false,true,false,"","FLAVOR_WEAPON_HEMLOK","",""
"","PING_WEAPON_G7","","","","#PING_LOOT","ping_foundG7",true,false,true,false,"","FLAVOR_WEAPON_G7","",""
"","PING_WEAPON_ALTERNATOR","","","","#PING_LOOT","ping_foundAlternator",true,false,true,false,"","FLAVOR_WEAPON_ALTERNATOR","",""
"","PING_WEAPON_R97","! [jnel] this is still r97, but should we hook it to r99?","","","#PING_LOOT","ping_foundR99",true,false,true,false,"","FLAVOR_WEAPON_R97","",""
"","PING_WEAPON_PROWLER","","","","#PING_LOOT","ping_foundprowler",true,false,true,false,"","FLAVOR_WEAPON_PROWLER","",""
"","PING_WEAPON_DMR","","","","#PING_LOOT","ping_foundDmr",true,false,true,false,"","FLAVOR_WEAPON_DMR","",""
"","PING_WEAPON_SPITFIRE","","","","#PING_LOOT","ping_foundSpitfire",true,false,true,false,"","FLAVOR_WEAPON_SPITFIRE","",""
"","PING_WEAPON_R201","! [jnel] hooked the r301 to this event. Event string is r201.","","","#PING_LOOT","ping_foundR301",true,false,true,false,"","FLAVOR_WEAPON_R201","",""
"","PING_WEAPON_EVA","","","","#PING_LOOT","ping_foundEva",true,false,true,false,"","FLAVOR_WEAPON_EVA","",""
"","PING_WEAPON_PEACEKEEPER","","","","#PING_LOOT","ping_foundpeacekeeper",true,false,true,false,"","FLAVOR_WEAPON_PEACEKEEPER","",""
"","PING_WEAPON_MOZAMBIQUE","","","","#PING_LOOT","ping_foundMozambique",true,false,true,false,"","FLAVOR_WEAPON_MOZAMBIQUE","",""
"","PING_WEAPON_WINGMAN","","","","#PING_LOOT","ping_foundWingman",true,false,true,false,"","FLAVOR_WEAPON_WINGMAN","",""
"","PING_WEAPON_SEMIPISTOL","","","","#PING_LOOT","ping_foundP2020",true,false,true,false,"","FLAVOR_WEAPON_SEMIPISTOL","",""
"","PING_WEAPON_AUTOPISTOL","","","","#PING_LOOT","ping_foundRE45",true,false,true,false,"","FLAVOR_WEAPON_AUTOPISTOL","",""
"HAS_WEAPON_DEFENDER","PING_WEAPON_DEFENDER","","","","#PING_LOOT","ping_foundChargeRifle",true,false,true,false,"","","",""
"","PING_OFFHAND_GRENADE_FIRESTAR","! [jnel] hooked up foundThermite. Event string is still firestar.","","","#PING_LOOT","ping_foundThermite",true,false,true,false,"","FLAVOR_OFFHAND_GRENADE_FIRESTAR","",""
"","PING_OFFHAND_GRENADE_FRAG","","","","#PING_LOOT","ping_foundFrag",true,false,true,false,"","FLAVOR_OFFHAND_GRENADE_FRAG","",""
"","PING_OFFHAND_GRENADE_ARC","! [jnel] hooked up foundArcStar. Event string is still grenade_arc.","","","#PING_LOOT","ping_foundArcStar",true,false,true,false,"","FLAVOR_OFFHAND_GRENADE_ARC","",""
"","PING_AMMO_BULLET","! [jnel] hooked up foundAmmoLight","","","#PING_LOOT","ping_foundAmmoLight",true,false,true,false,"","","",""
"","PING_AMMO_SPECIAL","","","","#PING_LOOT","ping_foundAmmoEnergy",true,false,true,false,"","FLAVOR_AMMO_SPECIAL","",""
"","PING_AMMO_SHOTGUN","","","","#PING_LOOT","ping_foundAmmoShotgun",true,false,true,false,"","FLAVOR_AMMO_SHOTGUN","",""
"","PING_AMMO_HIGHCAL","! [jnel] hooked up foundAmmoHeavy.","","","#PING_LOOT","ping_foundAmmoHeavy",true,false,true,false,"","","",""
"","PING_EQUIPMENT_ARMOR_1","","","","#PING_TIERED_LOOT","ping_foundBodyShield",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_EQUIPMENT_ARMOR_1","",""
"","PING_EQUIPMENT_ARMOR_2","","","","#PING_TIERED_LOOT","ping_foundBodyShield",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_EQUIPMENT_ARMOR_2","",""
"","PING_EQUIPMENT_ARMOR_3","","","","#PING_TIERED_LOOT","ping_foundBodyShield",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_EQUIPMENT_ARMOR_3","",""
"","PING_EQUIPMENT_ARMOR_4","","","","#PING_TIERED_LOOT","ping_foundBodyShield",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_EQUIPMENT_ARMOR_4","",""
"","PING_EQUIPMENT_HELMET_1","","","","#PING_TIERED_LOOT","ping_foundHelmet",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_EQUIPMENT_HELMET_1","",""
"","PING_EQUIPMENT_HELMET_2","","","","#PING_TIERED_LOOT","ping_foundHelmet",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_EQUIPMENT_HELMET_2","",""
"","PING_EQUIPMENT_HELMET_3","","","","#PING_TIERED_LOOT","ping_foundHelmet",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_EQUIPMENT_HELMET_3","",""
"","PING_EQUIPMENT_HELMET_4","","","","#PING_TIERED_LOOT","ping_foundHelmet",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_EQUIPMENT_HELMET_4","",""
"","PING_EQUIPMENT_BACKPACK_1","","","","#PING_TIERED_LOOT","ping_foundBackpack",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_EQUIPMENT_BACKPACK_1","",""
"","PING_EQUIPMENT_BACKPACK_2","","","","#PING_TIERED_LOOT","ping_foundBackpack",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_EQUIPMENT_BACKPACK_2","",""
"","PING_EQUIPMENT_BACKPACK_3","","","","#PING_TIERED_LOOT","ping_foundBackpack",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_EQUIPMENT_BACKPACK_3","",""
"","PING_EQUIPMENT_BACKPACK_4","","","","#PING_TIERED_LOOT","ping_foundBackpack",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_EQUIPMENT_BACKPACK_4","",""
