"featureFlag","mod","type","name","shortName","description","image","emptyImage","cost","costSniper","costPistol","costAT","attachmentPoint","ammoType","specialCaseInvalidReason","toggleMod"
"","pro_screen","mod3","#MOD_PRO_SCREEN_NAME","Pro Screen","#MOD_PRO_SCREEN_DESC","ui/menu/items/mod_icons/stabilizer","ui/menu/items/mod_icons/stabilizer",0,0,0,0,"grip","","",""
"","optic_cq_hcog_classic","sight","#OPTIC_CQ_HCOG_CLASSIC_NAME","#OPTIC_CQ_HCOG_CLASSIC_NAME","#OPTIC_CQ_HCOG_CLASSIC_DESC","r2_ui/menus/loadout_icons/attachments/hcog_ranger","rui/pilot_loadout/mods/empty_sight",0,0,0,0,"sight","","",""
"","optic_cq_hcog_bruiser","sight","#OPTIC_CQ_HCOG_BRUISER_NAME","#OPTIC_CQ_HCOG_BRUISER_NAME","#OPTIC_CQ_HCOG_BRUISER_DESC","r2_ui/menus/loadout_icons/attachments/hcog_ranger","rui/pilot_loadout/mods/empty_sight",0,0,0,0,"sight","","",""
"","optic_cq_holosight","sight","#OPTIC_CQ_HOLOSIGHT_NAME","#OPTIC_CQ_HOLOSIGHT_NAME","#OPTIC_CQ_HOLOSIGHT_DESC","r2_ui/menus/loadout_icons/attachments/holosight","rui/pilot_loadout/mods/empty_sight",0,0,0,0,"sight","","",""
"","optic_cq_holosight_variable","sight","#OPTIC_CQ_HOLOSIGHT_VARIABLE_NAME","#OPTIC_CQ_HOLOSIGHT_VARIABLE_NAME","#OPTIC_CQ_HOLOSIGHT_VARIABLE_DESC","r2_ui/menus/loadout_icons/attachments/variable_zoom","rui/pilot_loadout/mods/empty_sight",0,0,0,0,"sight","","",""
"","optic_cq_threat","sight","#OPTIC_CQ_THREAT_NAME","#OPTIC_CQ_THREAT_NAME","#OPTIC_CQ_THREAT_DESC","r2_ui/menus/loadout_icons/attachments/threat_scope","rui/pilot_loadout/mods/empty_sight",0,0,0,0,"sight","","",""
"","optic_ranged_hcog","sight","#OPTIC_RANGED_HCOG_NAME","#OPTIC_RANGED_HCOG_NAME","#OPTIC_RANGED_HCOG_DESC","r2_ui/menus/loadout_icons/attachments/hcog_ranger","rui/pilot_loadout/mods/empty_sight",0,0,0,0,"sight","","",""
"","optic_ranged_aog_variable","sight","#OPTIC_RANGED_AOG_VARIABLE_NAME","#OPTIC_RANGED_AOG_VARIABLE_NAME","#OPTIC_RANGED_AOG_VARIABLE_DESC","r2_ui/menus/loadout_icons/attachments/aog","rui/pilot_loadout/mods/empty_sight",0,0,0,0,"sight","","",""
"","optic_sniper","sight","#OPTIC_SNIPER_NAME","#OPTIC_SNIPER_NAME","#OPTIC_SNIPER_DESC","ui/menu/items/attachment_icons/scope_6x","rui/pilot_loadout/mods/empty_sight",0,0,0,0,"sight","","#REASON_SNIPER_REQUIRED",""
"","optic_sniper_variable","sight","#OPTIC_SNIPER_VARIABLE_NAME","#OPTIC_SNIPER_VARIABLE_NAME","#OPTIC_SNIPER_VARIABLE_DESC","r2_ui/menus/loadout_icons/attachments/variable_zoom","rui/pilot_loadout/mods/empty_sight",0,0,0,0,"sight","","#REASON_SNIPER_REQUIRED",""
"","optic_sniper_threat","sight","#OPTIC_SNIPER_THREAT_NAME","#OPTIC_SNIPER_THREAT_NAME","#OPTIC_SNIPER_THREAT_DESC","r2_ui/menus/loadout_icons/attachments/threat_scope","rui/pilot_loadout/mods/empty_sight",0,0,0,0,"sight","","#REASON_SNIPER_REQUIRED",""
"","barrel_stabilizer_l1","barrel_stabilizer","#GEAR_BARREL_STABILIZER_L1_NAME","#GEAR_BARREL_STABILIZER_L1_NAME","#GEAR_BARREL_STABILIZER_L1_DESC","rui/pilot_loadout/mods/TEMP_barrel","rui/pilot_loadout/mods/empty_barrel_stabilizer",0,0,0,0,"barrel","","",""
"","barrel_stabilizer_l2","barrel_stabilizer","#GEAR_BARREL_STABILIZER_L2_NAME","#GEAR_BARREL_STABILIZER_L2_NAME","#GEAR_BARREL_STABILIZER_L2_DESC","rui/pilot_loadout/mods/TEMP_barrel","rui/pilot_loadout/mods/empty_barrel_stabilizer",0,0,0,0,"barrel","","",""
"","barrel_stabilizer_l3","barrel_stabilizer","#GEAR_BARREL_STABILIZER_L3_NAME","#GEAR_BARREL_STABILIZER_L3_NAME","#GEAR_BARREL_STABILIZER_L3_DESC","rui/pilot_loadout/mods/TEMP_barrel","rui/pilot_loadout/mods/empty_barrel_stabilizer",0,0,0,0,"barrel","","",""
"","barrel_stabilizer_l4_flash_hider","barrel_flash","#GEAR_BARREL_STABILIZER_L4_NAME","#GEAR_BARREL_STABILIZER_L4_NAME","#GEAR_BARREL_STABILIZER_L4_DESC","r2_ui/menus/loadout_icons/attachments/suppressor","r2_ui/menus/loadout_icons/attachments/suppressor",0,0,0,0,"barrel","","",""
