"featureFlag","ref","type","minInWorld","baseWeapon","baseMods","supportedAttachments","lootTags","tier","pingCommsAction","fakeAmmoIcon","icon","pickupModel","skinOverride","attachSound","pickupSound_1p","pickupSound_3p","carrySound","pickupString","desc","countPerDrop","inventorySlotCount","netInt","passive","minPVPCurrency","maxPVPCurrency","scrapValue","droppodRotate","conditional","isDynamic"
"","blank","blank",0,"","","","",0,"","","","",0,"","","","","","",1,1,"","",0,0,0,false,false,false
"","mp_weapon_sniper","main_weapon",0,"","crate","","sniper",4,"PING_WEAPON_KRABER","rui/hud/gametype_icons/survival/sur_ammo_kraber","","",0,"","survival_loot_pickup_weapon_sniper","survival_loot_pickup_3p_weapon_sniper","","","",1,1,"","",0,0,20,false,false,false
"","mp_weapon_mastiff","main_weapon",0,"","crate","","shotgun",4,"PING_WEAPON_MASTIFF","rui/hud/gametype_icons/survival/sur_ammo_mastiff","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","",0,0,20,false,false,false
"","mp_weapon_lstar","main_weapon",0,"","crate optic_cq_threat","","lmg",4,"PING_WEAPON_LSTAR","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,false,false,false
"HAS_ENERGY_MAGS","mp_weapon_energy_ar","main_weapon",0,"","","sight mag grip hopup","assault",1,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,false,false,false
"!HAS_ENERGY_MAGS","mp_weapon_energy_ar","main_weapon",0,"","","sight grip hopup","assault",1,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,false,false,false
"HAS_ENERGY_MAGS","mp_weapon_energy_ar_gold","main_weapon",0,"mp_weapon_energy_ar","gold hopup_turbocharger optic_cq_holosight_variable energy_mag_l3 stock_tactical_l3","sight mag grip hopup","assault",4,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,false,false,false
"!HAS_ENERGY_MAGS","mp_weapon_energy_ar_gold","main_weapon",0,"mp_weapon_energy_ar","gold hopup_turbocharger optic_cq_holosight_variable stock_tactical_l3","sight grip hopup","assault",4,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,false,false,false
"HAS_ENERGY_MAGS","mp_weapon_esaw","main_weapon",0,"","","sight mag barrel grip hopup","lmg",1,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","",0,0,20,false,false,false
"!HAS_ENERGY_MAGS","mp_weapon_esaw","main_weapon",0,"","","sight barrel grip hopup","lmg",1,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","",0,0,20,false,false,false
"HAS_ENERGY_MAGS","mp_weapon_esaw_gold","main_weapon",0,"mp_weapon_esaw","gold hopup_turbocharger optic_cq_hcog_bruiser energy_mag_l3 barrel_stabilizer_l4_flash_hider stock_tactical_l3","sight mag barrel grip hopup","lmg",4,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","",0,0,20,false,false,false
