levelIndex,xpPerLevel,reward1,rewardQty1
0,100,settings/itemflav/pack/cosmetic_rare.rpak,1
1,2650,settings/itemflav/pack/cosmetic_rare.rpak,1
2,3900,settings/itemflav/pack/cosmetic_rare.rpak,1
3,4750,settings/itemflav/pack/cosmetic_rare.rpak,1
4,5600,settings/itemflav/pack/cosmetic_rare.rpak,1
5,6350,settings/itemflav/pack/cosmetic_rare.rpak,1
6,7100,settings/itemflav/pack/cosmetic_rare.rpak,1
7,7850,settings/itemflav/pack/cosmetic_rare.rpak,1
8,8150,settings/itemflav/pack/cosmetic_rare.rpak,1
9,8600,settings/itemflav/pack/cosmetic_rare.rpak,1
10,9050,settings/itemflav/pack/cosmetic_rare.rpak,1
11,9500,settings/itemflav/pack/cosmetic_rare.rpak,1
12,9950,settings/itemflav/pack/cosmetic_rare.rpak,1
13,10400,settings/itemflav/pack/cosmetic_rare.rpak,1
14,10850,settings/itemflav/pack/cosmetic_rare.rpak,1
15,11300,settings/itemflav/pack/cosmetic_rare.rpak,1
16,11750,settings/itemflav/pack/cosmetic_rare.rpak,1
17,12200,settings/itemflav/pack/cosmetic_rare.rpak,1
18,12350,settings/itemflav/pack/cosmetic_rare.rpak,1
19,12500,settings/itemflav/grx_currency/credits.rpak,600
20,12650,settings/itemflav/pack/cosmetic_rare.rpak,1
21,12800,settings/itemflav/grx_currency/credits.rpak,600
22,12950,settings/itemflav/pack/cosmetic_rare.rpak,1
23,13100,settings/itemflav/grx_currency/credits.rpak,600
24,13250,settings/itemflav/pack/cosmetic_rare.rpak,1
25,13400,settings/itemflav/grx_currency/credits.rpak,600
26,13550,settings/itemflav/pack/cosmetic_rare.rpak,1
27,13700,settings/itemflav/grx_currency/credits.rpak,600
28,13850,settings/itemflav/pack/cosmetic_rare.rpak,1
29,14000,settings/itemflav/grx_currency/credits.rpak,600
30,14150,settings/itemflav/pack/cosmetic_rare.rpak,1
31,14300,settings/itemflav/grx_currency/credits.rpak,600
32,14450,settings/itemflav/pack/cosmetic_rare.rpak,1
33,14600,settings/itemflav/grx_currency/credits.rpak,600
34,14750,settings/itemflav/pack/cosmetic_rare.rpak,1
35,14900,settings/itemflav/grx_currency/credits.rpak,600
36,15050,settings/itemflav/pack/cosmetic_rare.rpak,1
37,15200,settings/itemflav/grx_currency/credits.rpak,600
38,15350,settings/itemflav/pack/cosmetic_rare.rpak,1
39,15500,settings/itemflav/grx_currency/credits.rpak,600
40,15650,settings/itemflav/pack/cosmetic_rare.rpak,1
41,15800,settings/itemflav/grx_currency/credits.rpak,600
42,15950,settings/itemflav/pack/cosmetic_rare.rpak,1
43,16100,settings/itemflav/grx_currency/credits.rpak,600
44,16250,settings/itemflav/pack/cosmetic_rare.rpak,1
45,16400,settings/itemflav/grx_currency/credits.rpak,600
46,16550,settings/itemflav/pack/cosmetic_rare.rpak,1
47,16700,settings/itemflav/grx_currency/credits.rpak,600
48,16850,settings/itemflav/pack/cosmetic_rare.rpak,1
49,17000,settings/itemflav/grx_currency/credits.rpak,600
50,17150,settings/itemflav/pack/cosmetic_rare.rpak,1
51,17300,settings/itemflav/grx_currency/credits.rpak,600
52,17450,settings/itemflav/pack/cosmetic_rare.rpak,1
53,17600,settings/itemflav/grx_currency/credits.rpak,600
54,17750,settings/itemflav/pack/cosmetic_rare.rpak,1
55,17900,settings/itemflav/grx_currency/credits.rpak,600
56,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
57,18000,settings/itemflav/grx_currency/credits.rpak,600
58,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
59,18000,settings/itemflav/grx_currency/credits.rpak,600
60,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
61,18000,settings/itemflav/grx_currency/credits.rpak,600
62,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
63,18000,settings/itemflav/grx_currency/credits.rpak,600
64,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
65,18000,settings/itemflav/grx_currency/credits.rpak,600
66,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
67,18000,settings/itemflav/grx_currency/credits.rpak,600
68,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
69,18000,settings/itemflav/grx_currency/credits.rpak,600
70,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
71,18000,settings/itemflav/grx_currency/credits.rpak,600
72,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
73,18000,settings/itemflav/grx_currency/credits.rpak,600
74,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
75,18000,settings/itemflav/grx_currency/credits.rpak,600
76,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
77,18000,settings/itemflav/grx_currency/credits.rpak,600
78,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
79,18000,settings/itemflav/grx_currency/credits.rpak,600
80,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
81,18000,settings/itemflav/grx_currency/credits.rpak,600
82,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
83,18000,settings/itemflav/grx_currency/credits.rpak,600
84,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
85,18000,settings/itemflav/grx_currency/credits.rpak,600
86,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
87,18000,settings/itemflav/grx_currency/credits.rpak,600
88,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
89,18000,settings/itemflav/grx_currency/credits.rpak,600
90,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
91,18000,settings/itemflav/grx_currency/credits.rpak,600
92,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
93,18000,settings/itemflav/grx_currency/credits.rpak,600
94,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
95,18000,settings/itemflav/grx_currency/credits.rpak,600
96,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
97,18000,settings/itemflav/grx_currency/credits.rpak,600
98,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
99,18000,settings/itemflav/grx_currency/credits.rpak,600
100,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
101,18000,settings/itemflav/grx_currency/credits.rpak,600
102,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
103,18000,settings/itemflav/grx_currency/credits.rpak,600
104,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
105,18000,settings/itemflav/grx_currency/credits.rpak,600
106,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
107,18000,settings/itemflav/grx_currency/credits.rpak,600
108,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
109,18000,settings/itemflav/grx_currency/credits.rpak,600
110,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
111,18000,settings/itemflav/grx_currency/credits.rpak,600
112,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
113,18000,settings/itemflav/grx_currency/credits.rpak,600
114,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
115,18000,settings/itemflav/grx_currency/credits.rpak,600
116,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
117,18000,settings/itemflav/grx_currency/credits.rpak,600
118,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
119,18000,settings/itemflav/grx_currency/credits.rpak,600
120,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
121,18000,settings/itemflav/grx_currency/credits.rpak,600
122,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
123,18000,settings/itemflav/grx_currency/credits.rpak,600
124,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
125,18000,settings/itemflav/grx_currency/credits.rpak,600
126,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
127,18000,settings/itemflav/grx_currency/credits.rpak,600
128,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
129,18000,settings/itemflav/grx_currency/credits.rpak,600
130,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
131,18000,settings/itemflav/grx_currency/credits.rpak,600
132,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
133,18000,settings/itemflav/grx_currency/credits.rpak,600
134,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
135,18000,settings/itemflav/grx_currency/credits.rpak,600
136,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
137,18000,settings/itemflav/grx_currency/credits.rpak,600
138,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
139,18000,settings/itemflav/grx_currency/credits.rpak,600
140,18000,settings/itemflav/pack/cosmetic_rare.rpak,1
141,18000,settings/itemflav/grx_currency/credits.rpak,600
