"name","characterRef","skinRef","frameRef","stanceRef","firstBadgeRef","firstBadgeDataInteger","secondBadgeRef","secondBadgeDataInteger","thirdBadgeRef","thirdBadgeDataInteger"
"Xephyris","character_wraith","character_skin_wraith_legendary_01","gcard_frame_wraith_legendary_04","gcard_stance_wraith_heirloom_01","gcard_badge_account_account_level",65,"gcard_badge_account_season01_bplevel",100,"gcard_badge_wraith_assassin",2
"sonictk","character_bangalore","character_skin_bangalore_epic_01","gcard_frame_bangalore_legendary_04","gcard_stance_bangalore_epic_01","gcard_badge_bangalore_flawless_victory_1",-1,"gcard_badge__empty",-1,"gcard_badge__empty",-1
"Sandmaker","character_lifeline","character_skin_lifeline_legendary_03","gcard_frame_lifeline_rare_03","gcard_stance_lifeline_epic_01","gcard_badge_account_banner_legend",-1,"gcard_badge_account_founder_pack",-1,"gcard_badge_lifeline_no_one_left_behind",-1
"Fiddly","character_gibraltar","character_skin_gibraltar_epic_02","gcard_frame_gibraltar_rare_04","gcard_stance_gibraltar_rare_02","gcard_badge_account_banner_legend",-1,"gcard_badge__empty",-1,"gcard_badge__empty",-1
"nexirae","character_bloodhound","character_skin_bloodhound_epic_01","gcard_frame_bloodhound_rare_02","gcard_stance_bloodhound_rare_02","gcard_badge_bloodhound_hot_streak",-1,"gcard_badge__empty",-1,"gcard_badge__empty",-1
"faceOG","character_bloodhound","character_skin_bloodhound_rare_12","gcard_frame_bloodhound_rare_01","gcard_stance_bloodhound_common_01","gcard_badge_account_account_level",90,"gcard_badge_bloodhound_squad_wipe",-1,"gcard_badge_bloodhound_apex_character",2
"twookiee","character_lifeline","character_skin_lifeline_season01_rare_01","gcard_frame_lifeline_legendary_01","gcard_stance_lifeline_epic_05","gcard_badge_account_account_level",71,"gcard_badge_lifeline_squad_wipe",-1,"gcard_badge_account_no_witnesses",-1
"i0257","character_lifeline","character_skin_lifeline_season01_rare_01","gcard_frame_lifeline_legendary_03","gcard_stance_lifeline_common_01","gcard_badge_account_season01_bplevel",2,"gcard_badge_account_valentine_base",-1,"gcard_badge_lifeline_apex_character",-1
"waxinlyrical","character_lifeline","character_skin_lifeline_legendary_03","gcard_frame_lifeline_legendary_01","gcard_stance_lifeline_epic_03","gcard_badge_account_dev_badge",-1,"gcard_badge_account_valentine_base",-1,"gcard_badge_account_team_harmony",-1
"glutinous","character_pathfinder","character_skin_pathfinder_legendary_03","gcard_frame_pathfinder_season01_rare_01","gcard_stance_pathfinder_rare_03","gcard_badge_pathfinder_apex_predator",-1,"gcard_badge_account_dev_badge",-1,"gcard_badge_pathfinder_apex_character",-1
"BiGRiG","character_octane","character_skin_octane_legendary_04","gcard_frame_octane_legendary_05","gcard_stance_octane_common_02","gcard_badge_account_dev_badge",-1,"gcard_badge_account_baller",0,"gcard_badge_octane_shot_caller",-1
"Segretezza","character_wraith","character_skin_wraith_legendary_shop_01","gcard_frame_wraith_legendary_04","gcard_stance_wraith_rare_08","gcard_badge_account_dev_badge",-1,"gcard_badge_wraith_rapid_elimination",-1,"gcard_badge_wraith_flawless_victory_2",0
"TrentonRD","character_pathfinder","character_skin_pathfinder_classic","gcard_frame_pathfinder_legendary_04","gcard_stance_pathfinder_rare_07","gcard_badge_account_pack_victory",-1,"gcard_badge_account_valentine_base",-1,"gcard_badge_account_dev_badge",-1
"RespawnSean","character_bangalore","character_skin_bangalore_legendary_03","gcard_frame_bangalore_legendary_02","gcard_stance_bangalore_epic_03","gcard_badge_account_dev_badge",-1,"gcard_badge_account_pack_victory",-1,"gcard_badge_account_warlord",-1
"durnyd","character_octane","character_skin_octane_rare_04","gcard_frame_octane_legendary_04","gcard_stance_octane_common_03","gcard_badge_account_dev_badge",-1,"gcard_badge_account_pack_victory",-1,"gcard_badge_octane_elite_character",-1
"bdionne","character_wraith","character_skin_wraith_legendary_02","gcard_frame_wraith_legendary_01","gcard_stance_wraith_epic_02","gcard_badge_account_dev_badge",-1,"gcard_badge_account_valentine_base",-1,"gcard_badge_account_team_harmony",-1
"Cook-Dev","character_pathfinder","character_skin_pathfinder_rare_09","gcard_frame_pathfinder_common_02","gcard_stance_pathfinder_epic_03","gcard_badge_account_dev_badge",-1,"gcard_badge_pathfinder_triple_triple",-1,"gcard_badge_account_team_work",-1
"absurdist_is_bad","character_bangalore","character_skin_bangalore_legendary_02","gcard_frame_bangalore_legendary_01","gcard_stance_bangalore_rare_01","gcard_badge_account_dev_badge",-1,"gcard_badge_account_no_witnesses",-1,"gcard_badge_account_team_harmony",-1
