"featureFlag","attachmentName","attachmentPoint","mp_weapon_sniper","mp_weapon_mastiff","mp_weapon_lstar","mp_weapon_energy_ar","mp_weapon_rocket_launcher","mp_weapon_esaw","mp_weapon_doubletake","mp_weapon_vinson","mp_weapon_hemlok","mp_weapon_g2","mp_weapon_alternator_smg","mp_weapon_r97","mp_weapon_pdw","mp_weapon_dmr","mp_weapon_defender","mp_weapon_lmg","mp_weapon_rspn101","mp_weapon_shotgun","mp_weapon_shotgun_pistol","mp_weapon_wingman","mp_weapon_semipistol","mp_weapon_autopistol","mp_weapon_energy_shotgun"
"","featureFlag","","","","","","","","","","","","","","","","HAS_WEAPON_DEFENDER","","","","","","","",""
"","optic_cq_hcog_classic","sight","","","","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"","optic_cq_hcog_bruiser","sight","","","","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"","optic_cq_holosight","sight","","","","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"","optic_cq_holosight_variable","sight","","","","x","","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"","optic_cq_threat","sight","","","","","","","","","","","x","x","x","","","","","x","x","x","x","x","x"
"","optic_ranged_hcog","sight","","","","x","","x","x","x","x","x","","","","x","x","x","x","","","","","",""
"","optic_ranged_aog_variable","sight","","","","x","","x","x","x","x","x","","","","x","x","x","x","","","","","",""
"","optic_sniper","sight","","","","","","","x","","","x","","","","x","x","","","","","","","",""
"","optic_sniper_variable","sight","","","","","","","x","","","x","","","","x","x","","","","","","","",""
"","optic_sniper_threat","sight","","","","","","","x","","","x","","","","x","x","","","","","","","",""
"","barrel_stabilizer_l1","barrel","","","","","","x","","","x","x","x","x","","x","","x","x","","","","","x",""
"","barrel_stabilizer_l2","barrel","","","","","","x","","","x","x","x","x","","x","","x","x","","","","","x",""
"","barrel_stabilizer_l3","barrel","","","","","","x","","","x","x","x","x","","x","","x","x","","","","","x",""
"","barrel_stabilizer_l4_flash_hider","barrel","","","","","","x","","","x","x","x","x","","x","","x","x","","","","","x",""
"","bullets_mag_l1","mag","","","","","","","","","","x","x","x","","","","","x","","","","x","x",""
"","bullets_mag_l2","mag","","","","","","","","","","x","x","x","","","","","x","","","","x","x",""
"","bullets_mag_l3","mag","","","","","","","","","","x","x","x","","","","","x","","","","x","x",""
"","highcal_mag_l1","mag","","","","","","","","x","x","","","","x","x","","x","","","","x","","",""
"","highcal_mag_l2","mag","","","","","","","","x","x","","","","x","x","","x","","","","x","","",""
"","highcal_mag_l3","mag","","","","","","","","x","x","","","","x","x","","x","","","","x","","",""
"HAS_ENERGY_MAGS","energy_mag_l1","mag","","","","x","","x","x","","","","","","","","","","","","","","","",""
"HAS_ENERGY_MAGS","energy_mag_l2","mag","","","","x","","x","x","","","","","","","","","","","","","","","",""
"HAS_ENERGY_MAGS","energy_mag_l3","mag","","","","x","","x","x","","","","","","","","","","","","","","","",""
"","shotgun_bolt_l1","mag","","","","","","","","","","","","","","","","","","x","x","","","","x"
"","shotgun_bolt_l2","mag","","","","","","","","","","","","","","","","","","x","x","","","","x"
"","shotgun_bolt_l3","mag","","","","","","","","","","","","","","","","","","x","x","","","","x"
"","stock_tactical_l1","grip","","","","x","","x","","x","x","","x","x","x","","","x","x","","","","","",""
"","stock_tactical_l2","grip","","","","x","","x","","x","x","","x","x","x","","","x","x","","","","","",""
"","stock_tactical_l3","grip","","","","x","","x","","x","x","","x","x","x","","","x","x","","","","","",""
"","stock_sniper_l1","grip","","","","","","","x","","","x","","","","x","x","","","","","","","",""
"","stock_sniper_l2","grip","","","","","","","x","","","x","","","","x","x","","","","","","","",""
"","stock_sniper_l3","grip","","","","","","","x","","","x","","","","x","x","","","","","","","",""
"","hopup_turbocharger","hopup","","","","x","","x","","","","","","","","","","","","","","","","",""
"","hopup_selectfire","hopup","","","","x","","","","","","","","","x","","","","","","","","","",""
"","hopup_energy_choke","hopup","","","","","","","x","","","","","","","","","","","","","","","","x"
"","hopup_unshielded_dmg","hopup","","","","","","","","","","","","","","","","","","","x","","x","",""
"HAS_HIGHCAL_ROUNDS","hopup_highcal_rounds","hopup","","","","","","","","x","","","","","","","","","x","","","","","",""
"HAS_DOUBLE_TAP","hopup_double_tap","hopup","","","","","","","","","","x","","","","","","","","x","","","","",""
"","pro_screen","","","","","","","","","","","","","","","","","","","","","","","",""
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
