"triggerName","zoneName","miniMapName","zoneGroup","statsRef"
"zone_1_wastelands","#DES_ZONE_1_WASTELANDS","","","des_wastelands"
"zone_1_uncharted","#DES_ZONE_1_UNCHARTED","","","des_uncharted"
"zone_1_snipe","#DES_ZONE_1_SNIPE","","","des_snipe"
"zone_1_drill_site","#DES_ZONE_1_DRILL_SITE","","","des_drill_site"
"zone_2_cap_city","#DES_ZONE_2_CAP_CITY","","","des_cap_city"
"zone_2_tunnel","#DES_ZONE_2_TUNNEL","","","des_tunnel_z2"
"zone_3_lost","#DES_ZONE_3_LOST","","","des_lost"
"zone_4_buried_refinery","#DES_ZONE_4_BURIED_REFINERY","","","des_buried_refinery"
"zone_4_ground_zero","#DES_ZONE_4_GROUND_ZERO","","","des_ground_zero"
"zone_5_lava_fissure","#DES_ZONE_5_LAVA_FISSURE","","","des_lava_fissure"
"zone_5_pass","#DES_ZONE_5_PASS","","","des_pass"
"zone_5_trainyard","#DES_ZONE_5_TRAINYARD","","","des_trainyard"
"zone_5_tunnel","#DES_ZONE_5_TUNNEL","","","des_tunnel_z5"
"zone_6_new_springfield","#DES_ZONE_6_NEW_SPRINGFIELD","","","des_new_springfield"
"zone_7_snow_field","#DES_ZONE_7_SNOW_FIELD","","","des_snow_field"
"zone_7_tunnel","#DES_ZONE_7_TUNNEL","","","des_tunnel_z7"
"zone_8_hot_spring","#DES_ZONE_8_HOT_SPRING","","","des_hot_spring"
"zone_8_end","#DES_ZONE_8_END","","","des_end"
"zone_9_fuel","#DES_ZONE_9_FUEL","","","des_fuel"
"zone_9_ridge_line","#DES_ZONE_9_RIDGE_LINE","","","des_ridge_line"
"zone_9_bridge","#DES_ZONE_9_BRIDGE","","","des_bridge"
"zone_9_out","#DES_ZONE_9_OUT","","","des_out"
"zone_10_research_station_bravo","#DES_ZONE_10_RESEARCH_STATION_BRAVO","","","des_research_station_bravo"
"zone_10_tunnel","#DES_ZONE_10_TUNNEL","","","des_tunnel_z10"
"zone_11_thermal_station","#DES_ZONE_11_THERMAL_STATION","","","des_thermal_station"
"zone_12_research_station_alpha","#DES_ZONE_12_RESEARCH_STATION_ALPHA","","","des_research_station_alpha"
"zone_13_refinery","#DES_ZONE_13_REFINERY","","","des_refinery"
"zone_15_lava_city","#DES_ZONE_15_LAVA_CITY","","","des_lava_city"
"zone_16_volcanic","#DES_ZONE_16_VOLCANIC","","","des_volcanic"
"zone_16_mt","#DES_ZONE_16_MT","","","des_mt"
"string","string","string","string","string"
